City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Saint-Leu,RE,2021-04-20 04:26:53,-21.15,55.2833,77.0,83,64,4.61,[{'description': 'broken clouds'}]
131,Quang Ngai,VN,2021-04-20 04:26:53,15.1167,108.8,87.85,56,98,5.82,[{'description': 'overcast clouds'}]
132,Ban Dung,TH,2021-04-20 04:26:53,17.699,103.2596,90.0,66,40,3.44,[{'description': 'scattered clouds'}]
133,Christchurch,NZ,2021-04-20 04:24:58,-43.5333,172.6333,62.01,63,100,8.05,[{'description': 'overcast clouds'}]
134,Nanortalik,GL,2021-04-20 04:19:48,60.1432,-45.2371,32.38,77,99,7.38,[{'description': 'overcast clouds'}]
135,Cuauhtemoc,MX,2021-04-20 04:26:54,28.4167,-106.8667,44.01,57,19,1.01,[{'description': 'few clouds'}]
136,Santa Maria,BR,2021-04-20 04:23:02,-29.6842,-53.8069,60.8,94,0,8.05,[{'description': 'clear sky'}]
137,Almaznyy,RU,2021-04-20 04:26:54,48.0448,40.045,50.0,100,40,13.42,"[{'description': 'light rain'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]"
138,Wajid,SO,2021-04-20 04:26:55,3.8093,43.2471,77.0,73,95,6.11,[{'description': 'overcast clouds'}]
139,San Juan De Los Lagos,MX,2021-04-20 04:26:55,21.25,-102.3,66.2,14,1,7.87,[{'description': 'clear sky'}]
140,Manadhoo,MV,2021-04-20 04:26:55,5.7667,73.3833,83.3,69,31,6.26,[{'description': 'scattered clouds'}]
141,Wolfratshausen,DE,2021-04-20 04:26:56,47.9129,11.4217,41.0,96,95,3.0,[{'description': 'light rain'}]
142,Victoria,HK,2021-04-20 04:19:04,22.2855,114.1577,75.99,74,31,3.0,[{'description': 'scattered clouds'}]
143,Te Anau,NZ,2021-04-20 04:22:57,-45.4167,167.7167,59.32,65,53,6.06,[{'description': 'broken clouds'}]
144,Aktash,RU,2021-04-20 04:26:56,50.3,87.7333,24.67,80,99,5.82,[{'description': 'overcast clouds'}]
145,San Vicente,AR,2021-04-20 04:22:26,-26.6167,-54.1333,58.91,72,0,3.49,[{'description': 'clear sky'}]
146,Valparaiso,CL,2021-04-20 04:22:10,-33.0393,-71.6273,57.0,78,30,9.1,[{'description': 'scattered clouds'}]
147,Longyearbyen,SJ,2021-04-20 04:22:11,78.2186,15.6401,28.4,74,75,5.75,[{'description': 'light snow'}]
148,Quepos,CR,2021-04-20 04:26:57,9.4236,-84.1652,69.8,100,100,6.91,[{'description': 'overcast clouds'}]
149,Rypefjord,NO,2021-04-20 04:26:57,70.6333,23.6667,41.0,70,0,4.61,[{'description': 'clear sky'}]
150,Kayerkan,RU,2021-04-20 04:26:57,69.3497,87.7602,3.6,88,30,3.18,[{'description': 'scattered clouds'}]
151,Sao Jose Da Coroa Grande,BR,2021-04-20 04:23:48,-8.8978,-35.1478,76.98,84,40,3.76,[{'description': 'scattered clouds'}]
152,Flinders,AU,2021-04-20 04:20:08,-34.5833,150.8552,75.99,43,81,5.01,[{'description': 'broken clouds'}]
153,Vila Franca Do Campo,PT,2021-04-20 04:23:12,37.7167,-25.4333,62.6,88,75,11.5,[{'description': 'broken clouds'}]
154,Barrow,US,2021-04-20 04:22:13,71.2906,-156.7887,21.2,79,90,25.32,[{'description': 'overcast clouds'}]
155,Lahij,YE,2021-04-20 04:26:58,13.1667,44.5833,79.3,40,68,2.91,[{'description': 'broken clouds'}]
156,Ancud,CL,2021-04-20 04:22:44,-41.8697,-73.8203,51.01,100,90,1.52,[{'description': 'mist'}]
157,Saint Anthony,US,2021-04-20 04:23:13,45.0205,-93.218,34.0,64,1,7.63,[{'description': 'clear sky'}]
158,Zhicheng,CN,2021-04-20 04:26:58,30.2956,111.5047,61.0,95,100,1.07,[{'description': 'light rain'}]
159,Elizabeth City,US,2021-04-20 04:26:59,36.2946,-76.2511,48.2,93,1,3.44,[{'description': 'clear sky'}]
160,Klyuchi,RU,2021-04-20 04:26:59,52.2667,79.1667,27.97,31,66,12.66,[{'description': 'broken clouds'}]
161,Vadso,NO,2021-04-20 04:27:00,70.0744,29.7487,37.4,70,0,2.3,[{'description': 'clear sky'}]
162,Tiguion,PH,2021-04-20 04:27:00,13.3347,121.861,89.01,63,100,5.99,[{'description': 'overcast clouds'}]
163,Norman Wells,CA,2021-04-20 04:23:27,65.282,-126.8329,46.4,39,1,3.44,[{'description': 'clear sky'}]
164,Sao Filipe,CV,2021-04-20 04:23:04,14.8961,-24.4956,72.43,74,100,11.95,[{'description': 'overcast clouds'}]
165,Honiara,SB,2021-04-20 04:25:16,-9.4333,159.95,86.18,71,84,5.88,[{'description': 'broken clouds'}]
166,Ekpoma,NG,2021-04-20 04:27:00,6.7421,6.139,72.0,99,100,3.36,[{'description': 'overcast clouds'}]
167,Vallenar,CL,2021-04-20 04:27:01,-28.5708,-70.7581,61.34,71,99,2.48,[{'description': 'overcast clouds'}]
168,Laguna,US,2021-04-20 04:22:24,38.421,-121.4238,64.99,51,1,5.75,[{'description': 'clear sky'}]
169,Kawalu,ID,2021-04-20 04:27:01,-7.3817,108.2082,84.85,57,22,5.08,[{'description': 'few clouds'}]
170,Blacksburg,US,2021-04-20 04:27:01,37.2296,-80.4139,46.0,76,1,3.09,[{'description': 'clear sky'}]
171,Jatiroto,ID,2021-04-20 04:27:02,-7.8833,111.1167,84.47,55,72,5.55,[{'description': 'broken clouds'}]
172,Port Hardy,CA,2021-04-20 04:22:52,50.6996,-127.4199,50.0,81,75,8.05,[{'description': 'broken clouds'}]
173,Sitka,US,2021-04-20 04:27:02,57.0531,-135.33,50.0,76,75,3.53,[{'description': 'broken clouds'}]
174,Darhan,MN,2021-04-20 04:27:03,49.4867,105.9228,58.39,27,100,2.17,[{'description': 'overcast clouds'}]
175,Sioux Lookout,CA,2021-04-20 04:24:51,50.1001,-91.917,26.6,46,40,9.22,[{'description': 'scattered clouds'}]
176,Caravelas,BR,2021-04-20 04:21:25,-17.7125,-39.2481,73.49,95,100,7.58,[{'description': 'overcast clouds'}]
177,Najran,SA,2021-04-20 04:20:56,17.4924,44.1277,71.6,28,0,4.61,[{'description': 'clear sky'}]
178,Tasiilaq,GL,2021-04-20 04:19:15,65.6145,-37.6368,28.4,40,95,2.3,[{'description': 'overcast clouds'}]
179,Roebourne,AU,2021-04-20 04:24:24,-20.7833,117.1333,86.99,33,1,7.83,[{'description': 'clear sky'}]
180,Weihe,CN,2021-04-20 04:27:03,32.9952,105.3247,60.33,61,100,2.06,[{'description': 'overcast clouds'}]
181,Tautira,PF,2021-04-20 04:24:52,-17.7333,-149.15,82.4,69,75,2.3,[{'description': 'broken clouds'}]
182,Vardo,NO,2021-04-20 04:23:37,70.3705,31.1107,37.4,70,0,2.3,[{'description': 'clear sky'}]
183,Hithadhoo,MV,2021-04-20 04:19:24,-0.6,73.0833,82.74,62,100,2.06,[{'description': 'overcast clouds'}]
184,Bosanska Gradiska,BA,2021-04-20 04:27:04,45.1411,17.25,46.0,93,90,2.3,[{'description': 'overcast clouds'}]
185,Soyo,AO,2021-04-20 04:27:04,-6.1349,12.3689,76.5,88,100,7.76,[{'description': 'overcast clouds'}]
186,Victor Harbor,AU,2021-04-20 04:22:27,-35.5667,138.6167,61.0,59,96,4.0,[{'description': 'overcast clouds'}]
187,Saint George,US,2021-04-20 04:22:56,37.1041,-113.5841,71.01,10,1,5.59,[{'description': 'clear sky'}]
188,Bonfim,BR,2021-04-20 04:27:05,3.0833,-59.95,78.24,66,100,7.38,[{'description': 'overcast clouds'}]
189,Terra Santa,BR,2021-04-20 04:27:05,-2.1042,-56.4869,71.85,97,88,0.47,[{'description': 'light rain'}]
190,Keita,NE,2021-04-20 04:27:05,14.7551,5.7749,85.93,22,61,5.06,[{'description': 'broken clouds'}]
191,Borba,BR,2021-04-20 04:27:06,-4.3878,-59.5939,72.57,98,100,0.87,[{'description': 'overcast clouds'}]
192,Alyangula,AU,2021-04-20 04:21:29,-13.8483,136.4192,86.0,74,90,10.36,[{'description': 'overcast clouds'}]
193,Kikwit,CD,2021-04-20 04:27:06,-5.041,18.8162,69.85,99,100,4.74,[{'description': 'heavy intensity rain'}]
194,Palasa,IN,2021-04-20 04:27:06,18.7667,84.4167,91.71,55,17,14.63,[{'description': 'few clouds'}]
195,Mae Sai,TH,2021-04-20 04:27:07,20.4335,99.8762,89.01,70,20,3.44,[{'description': 'few clouds'}]
196,Nyurba,RU,2021-04-20 04:27:07,63.2842,118.3319,24.06,68,91,8.08,[{'description': 'overcast clouds'}]
197,Clyde River,CA,2021-04-20 04:22:20,70.4692,-68.5914,3.2,85,90,17.27,[{'description': 'overcast clouds'}]
198,Ilhabela,BR,2021-04-20 04:20:00,-23.7781,-45.3581,69.67,84,36,6.55,[{'description': 'scattered clouds'}]
199,Saldanha,ZA,2021-04-20 04:19:27,-33.0117,17.9442,62.6,67,1,4.61,[{'description': 'clear sky'}]
200,Bambous Virieux,MU,2021-04-20 04:24:04,-20.3428,57.7575,81.0,89,40,3.44,[{'description': 'scattered clouds'}]
201,Zhigansk,RU,2021-04-20 04:23:46,66.7697,123.3711,14.72,83,70,17.13,[{'description': 'broken clouds'}]
202,Tornio,FI,2021-04-20 04:27:08,65.8481,24.1466,32.0,74,0,3.44,[{'description': 'clear sky'}]
203,Kaitangata,NZ,2021-04-20 04:22:00,-46.2817,169.8464,64.99,67,39,1.99,[{'description': 'scattered clouds'}]
204,Limenaria,GR,2021-04-20 04:27:08,40.6261,24.5786,48.99,100,20,5.75,[{'description': 'few clouds'}]
205,Porto Novo,BJ,2021-04-20 04:27:08,6.4965,2.6036,78.8,94,20,3.44,[{'description': 'few clouds'}]
206,Harper,LR,2021-04-20 04:27:09,4.375,-7.7169,80.24,80,100,3.83,[{'description': 'overcast clouds'}]
207,Pevek,RU,2021-04-20 04:22:22,69.7008,170.3133,30.47,67,68,17.58,[{'description': 'broken clouds'}]
208,Artyom,AZ,2021-04-20 04:27:09,40.4723,50.333,57.2,77,20,2.3,[{'description': 'few clouds'}]
209,Road Town,VG,2021-04-20 04:21:22,18.4167,-64.6167,79.0,84,100,4.0,[{'description': 'overcast clouds'}]
210,San Estanislao,CO,2021-04-20 04:27:10,10.3983,-75.1511,82.4,89,0,5.75,[{'description': 'clear sky'}]
211,Rawson,AR,2021-04-20 04:22:56,-43.3002,-65.1023,63.05,70,70,17.29,[{'description': 'broken clouds'}]
212,Ingraj Bazar,IN,2021-04-20 04:27:10,25.0,88.15,97.11,8,0,5.55,[{'description': 'clear sky'}]
213,Toora-Khem,RU,2021-04-20 04:27:10,52.4675,96.11,27.39,59,100,4.65,[{'description': 'overcast clouds'}]
214,Narsaq,GL,2021-04-20 04:19:33,60.9167,-46.05,30.2,64,93,4.61,[{'description': 'overcast clouds'}]
215,Multan,PK,2021-04-20 04:22:49,30.1956,71.4753,78.8,47,75,13.8,"[{'description': 'moderate rain'}, {'id': 301, 'main': 'Drizzle', 'description': 'drizzle', 'icon': '09d'}]"
216,Yenotayevka,RU,2021-04-20 04:27:11,47.2456,47.0281,56.89,84,100,11.54,[{'description': 'overcast clouds'}]
