City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Qaanaaq,GL,2021-04-14 18:46:50,77.484,-69.3632,-6.74,81,0,1.72
220,Chute-Aux-Outardes,CA,2021-04-14 18:50:03,49.1168,-68.399,48.2,49,1,5.75
221,Greymouth,NZ,2021-04-14 18:50:04,-42.4667,171.2,54.72,85,92,1.43
222,Eureka,US,2021-04-14 18:50:04,40.8021,-124.1637,68.0,53,0,3.0
223,Mpika,ZM,2021-04-14 18:50:04,-11.8343,31.4529,58.26,96,31,4.05
224,Los Llanos De Aridane,ES,2021-04-14 18:46:59,28.6585,-17.9182,73.4,64,40,6.91
225,Bandarbeyla,SO,2021-04-14 18:50:05,9.4942,50.8122,81.05,72,16,9.89
226,Yekaterinovka,RU,2021-04-14 18:50:05,52.0508,44.3451,51.75,57,79,8.75
227,Humaita,BR,2021-04-14 18:50:06,-7.5061,-63.0208,78.53,92,100,2.04
228,Jian,CN,2021-04-14 18:50:06,27.1172,114.9793,60.24,96,100,3.98
229,Grand-Santi,GF,2021-04-14 18:50:06,4.25,-54.3833,83.34,83,28,4.12
230,Baghmara,IN,2021-04-14 18:50:06,23.795,86.2085,86.79,9,100,2.35
231,Rawah,IQ,2021-04-14 18:50:07,34.4816,41.9093,65.32,23,0,7.07
232,Turukhansk,RU,2021-04-14 18:50:07,65.8167,87.9833,3.76,99,93,4.16
233,Inhambane,MZ,2021-04-14 18:50:07,-23.865,35.3833,75.2,78,20,7.2
234,Xam Nua,LA,2021-04-14 18:45:16,20.4197,104.0439,63.59,89,100,2.73
235,Chippewa Falls,US,2021-04-14 18:50:01,44.9369,-91.3929,39.2,65,90,9.22
236,Port Elizabeth,ZA,2021-04-14 18:50:08,-33.918,25.5701,62.6,100,0,4.61
237,Roma,US,2021-04-14 18:50:08,43.2128,-75.4557,68.0,34,90,6.91
238,Yamada,JP,2021-04-14 18:50:09,39.4667,141.95,36.1,64,0,5.14
239,Platanos,GR,2021-04-14 18:50:09,37.6667,21.6167,59.0,67,20,12.66
240,San Quintin,MX,2021-04-14 18:46:10,30.4833,-115.95,62.24,56,62,16.31
241,Brainerd,US,2021-04-14 18:48:35,46.358,-94.2008,42.8,75,90,11.5
242,Kindia,GN,2021-04-14 18:50:10,10.0569,-12.8658,78.67,71,100,5.97
243,Kotido,UG,2021-04-14 18:50:10,2.9806,34.1331,72.81,66,16,2.53
244,De Aar,ZA,2021-04-14 18:48:20,-30.6497,24.0123,76.71,21,89,8.66
245,Loiza,PR,2021-04-14 18:50:10,18.4313,-65.8802,84.2,65,20,10.36
246,Normandin,CA,2021-04-14 18:50:11,48.8333,-72.5321,59.0,21,23,9.22
247,Tatawin,TN,2021-04-14 18:50:11,32.9297,10.4518,71.6,30,0,6.91
248,Puerto Baquerizo Moreno,EC,2021-04-14 18:50:11,-0.9,-89.6,82.4,83,75,10.36
249,Medvezhyegorsk,RU,2021-04-14 18:50:12,62.9167,34.4667,31.1,87,69,4.07
250,Lorengau,PG,2021-04-14 18:50:12,-2.0226,147.2712,80.82,75,60,7.07
251,Lata,PT,2021-04-14 18:50:12,40.1629,-8.3327,64.0,86,100,1.9
252,Lavrentiya,RU,2021-04-14 18:50:13,65.5833,-171.0,25.79,94,100,4.09
253,Krasnoselkup,RU,2021-04-14 18:50:13,65.7,82.4667,18.18,94,100,9.48
254,San Cristobal,VE,2021-04-14 18:46:07,7.7669,-72.225,89.6,58,40,8.05
255,Olinda,BR,2021-04-14 18:50:13,-8.0089,-34.8553,80.6,74,75,5.75
256,Syrskoye,RU,2021-04-14 18:50:14,52.5744,39.4966,58.71,44,100,10.89
257,Santo Andre,BR,2021-04-14 18:50:14,-23.6639,-46.5383,73.4,60,75,12.66
258,Charters Towers,AU,2021-04-14 18:50:14,-20.1,146.2667,64.29,77,8,7.47
259,Bonavista,CA,2021-04-14 18:50:15,48.6499,-53.1147,37.4,75,100,4.61
260,Yumen,CN,2021-04-14 18:50:15,40.2833,97.2,37.98,25,17,13.2
261,Ancud,CL,2021-04-14 18:49:02,-41.8697,-73.8203,57.2,88,90,3.44
262,Zhangye,CN,2021-04-14 18:50:16,38.9342,100.4517,41.18,24,34,14.38
263,Mwene-Ditu,CD,2021-04-14 18:50:16,-7.0,23.45,64.44,95,100,2.95
264,Bereznik,RU,2021-04-14 18:50:17,62.8551,42.7072,39.33,91,100,5.48
265,Isla Mujeres,MX,2021-04-14 18:50:17,21.2311,-86.731,86.0,58,40,8.05
266,Young,UY,2021-04-14 18:50:17,-32.6833,-57.6333,76.71,49,18,7.61
267,Dicabisagan,PH,2021-04-14 18:50:18,17.0818,122.4157,76.03,87,65,2.15
268,Saint Anthony,US,2021-04-14 18:50:18,45.0205,-93.218,45.0,61,90,11.5
269,Loukhi,RU,2021-04-14 18:50:18,66.0764,33.0381,31.96,73,6,11.65
270,Sept-Iles,CA,2021-04-14 18:47:02,50.2001,-66.3821,46.4,53,1,8.05
271,Balsas,BR,2021-04-14 18:50:19,-7.5325,-46.0356,82.65,73,98,4.09
272,Tanout,NE,2021-04-14 18:50:19,14.9709,8.8879,86.58,4,0,12.08
273,Ilulissat,GL,2021-04-14 18:50:20,69.2167,-51.1,19.4,68,75,17.27
274,Rupert,US,2021-04-14 18:50:20,42.6191,-113.6772,39.2,65,90,9.22
275,Saraza,PH,2021-04-14 18:50:20,8.7356,117.78,77.41,83,83,3.47
276,Pangnirtung,CA,2021-04-14 18:50:21,66.1451,-65.7125,6.8,85,75,3.44
277,Krasnoarmeysk,RU,2021-04-14 18:50:21,51.0239,45.6969,52.29,57,57,6.49
278,Port Lincoln,AU,2021-04-14 18:50:21,-34.7333,135.8667,61.57,65,100,10.58
279,Ponta Do Sol,PT,2021-04-14 18:46:47,32.6667,-17.1,68.0,77,40,8.05
280,Tual,ID,2021-04-14 18:50:22,-5.6667,132.75,82.22,73,47,10.36
281,Port Blair,IN,2021-04-14 18:47:32,11.6667,92.75,82.02,75,99,3.42
282,San Borja,BO,2021-04-14 18:50:22,-14.8167,-66.85,87.26,53,4,4.27
283,Kahului,US,2021-04-14 18:49:43,20.8947,-156.47,75.2,69,20,10.36
284,Quesnel,CA,2021-04-14 18:50:23,52.9999,-122.5029,46.4,39,1,2.3
285,Gizo,SB,2021-04-14 18:50:23,-8.103,156.8419,81.7,77,96,8.46
286,Mount Isa,AU,2021-04-14 18:50:23,-20.7333,139.5,69.8,43,3,2.3
287,Kozhva,RU,2021-04-14 18:50:24,65.1073,57.0459,45.21,92,100,14.36
288,Upington,ZA,2021-04-14 18:50:24,-28.4478,21.2561,82.4,23,0,8.14
289,Zabid,YE,2021-04-14 18:50:25,14.1951,43.3152,81.57,69,2,4.54
290,Victoria,HK,2021-04-14 18:46:00,22.2855,114.1577,73.0,90,97,1.01
291,Pailon,BO,2021-04-14 18:50:25,-17.65,-62.75,91.76,33,0,8.93
292,Itapemirim,BR,2021-04-14 18:46:10,-21.0111,-40.8339,77.56,62,2,14.36
293,Qaqortoq,GL,2021-04-14 18:50:25,60.7167,-46.0333,39.2,65,20,6.91
294,Biak,ID,2021-04-14 18:50:26,-0.9131,122.8766,75.96,83,97,5.57
