City_ID,City,Country,Max Temp,Current Description ,Lat,Lng,Hotel Name
654,Ha Tinh,VN,89.51,clear sky,18.3333,105.9,Phú Quý
655,Byron Bay,AU,78.8,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
656,La Asuncion,VE,76.8,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
657,Maragogi,BR,76.39,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
658,Kailua,US,78.8,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
660,Adrar,MR,76.59,broken clouds,20.5022,-10.0711,
661,Shelomi,IL,80.6,clear sky,33.0747,35.1461,"אכסניית אנ""א שלומי- Hi Shlomi Hostel"
669,Sharjah,AE,78.8,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
672,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
673,Sabang,ID,83.25,overcast clouds,5.8933,95.3214,Hotel Citra
674,Axim,GH,79.7,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
680,Geraldton,AU,78.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
685,Marawi,PH,84.99,overcast clouds,7.9986,124.2928,Derogongan Residence
686,Hobyo,SO,82.56,moderate rain,5.3505,48.5268,Halane Hotel and Restaurent
688,Bartica,GY,75.2,clear sky,6.4,-58.6167,Relax Inn Hotel
690,Boffa,GN,77.38,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
693,Marsh Harbour,BS,78.4,broken clouds,26.5412,-77.0636,Abaco Beach Resort
696,Sinnamary,GF,75.47,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
